original_file,bitrate,frame_size,complexity,use_fec,packet_loss_perc,pesq_mos_score
1089-134686-0020.flac,8,20,5,False,2,2.945793867111206
1089-134686-0020.flac,8,20,5,False,0,3.492488384246826
1089-134686-0020.flac,8,20,5,True,3,2.940343141555786
1089-134686-0020.flac,8,20,5,False,7,2.4735593795776367
1089-134686-0020.flac,8,20,9,True,1,3.2540688514709473
1089-134686-0020.flac,8,20,5,False,10,2.0481789112091064
1089-134686-0020.flac,8,20,5,False,5,2.7909464836120605
1089-134686-0020.flac,8,20,5,False,1,3.0619418621063232
1089-134686-0020.flac,8,20,9,True,0,3.583378791809082
1089-134686-0020.flac,8,20,5,True,0,3.416360378265381
1089-134686-0020.flac,8,20,9,True,2,3.0838589668273926
1089-134686-0020.flac,8,20,5,True,1,3.089477777481079
1089-134686-0020.flac,8,20,9,True,3,3.05989670753479
1089-134686-0020.flac,8,20,5,True,5,2.8226094245910645
1089-134686-0020.flac,8,20,9,True,5,2.9281795024871826
1089-134686-0020.flac,8,20,9,False,0,3.6695151329040527
1089-134686-0020.flac,8,20,9,False,1,3.2454140186309814
1089-134686-0020.flac,8,20,5,False,3,2.929072380065918
1089-134686-0020.flac,8,20,9,True,10,2.205658197402954
1089-134686-0020.flac,8,20,5,True,10,2.1453232765197754
1089-134686-0020.flac,8,20,5,True,2,2.930492639541626
1089-134686-0020.flac,8,20,9,False,2,3.103731393814087
1089-134686-0020.flac,8,20,5,True,7,2.602663516998291
1089-134686-0020.flac,8,20,9,False,5,2.885359764099121
1089-134686-0020.flac,8,20,9,True,7,2.7224438190460205
1089-134686-0020.flac,8,40,5,True,0,3.552598476409912
1089-134686-0020.flac,8,20,9,False,7,2.5455329418182373
1089-134686-0020.flac,8,40,5,True,2,3.1589930057525635
1089-134686-0020.flac,8,40,5,True,5,3.1212143898010254
1089-134686-0020.flac,8,40,5,False,3,3.066842555999756
1089-134686-0020.flac,8,40,5,True,1,3.186640501022339
1089-134686-0020.flac,8,40,5,False,2,3.064293384552002
1089-134686-0020.flac,8,20,9,False,10,2.0778825283050537
1089-134686-0020.flac,8,40,5,False,7,2.5039961338043213
1089-134686-0020.flac,8,40,5,False,0,3.5197696685791016
1089-134686-0020.flac,8,20,9,False,3,3.027642011642456
1089-134686-0020.flac,8,40,5,False,5,3.0328853130340576
1089-134686-0020.flac,8,40,9,True,2,3.3490843772888184
1089-134686-0020.flac,8,40,9,True,1,3.359053373336792
1089-134686-0020.flac,8,40,9,True,3,3.388921022415161
1089-134686-0020.flac,8,40,9,True,7,2.7710020542144775
1089-134686-0020.flac,8,40,5,True,10,2.311725378036499
1089-134686-0020.flac,8,40,5,True,3,3.1578593254089355
1089-134686-0020.flac,8,40,5,True,7,2.6657233238220215
1089-134686-0020.flac,8,40,9,False,1,3.259901285171509
1089-134686-0020.flac,8,40,9,True,10,2.4450268745422363
1089-134686-0020.flac,8,40,9,False,2,3.2425925731658936
